NUMERO,FRECUENCIA
7,119
24,118
54,118
28,117
6,115
40,111
45,111
22,111
4,110
32,110
49,110
52,109
25,109
30,108
56,108
53,108
9,107
8,107
42,107
29,106
50,106
12,106
14,104
44,104
35,104
33,104
16,104
48,103
20,103
10,103
19,102
39,100
5,100
34,100
3,99
21,98
55,98
41,98
26,97
2,97
46,97
31,96
13,96
18,95
1,95
11,95
38,94
27,93
36,92
43,92
23,90
47,90
17,89
15,89
51,88
37,84
