SORTEO,R1,R2,R3,R4,R5,FECHA
5363,5,9,15,16,17,2016-03-14
5356,3,8,10,17,23,2016-03-07
5354,7,16,23,26,27,2016-03-05
5349,4,16,20,23,28,2016-02-29
5336,3,9,11,16,19,2016-02-16
5326,2,11,16,19,23,2016-02-06
5311,5,8,11,21,25,2016-01-22
5295,2,11,13,17,26,2016-01-06
5288,2,7,13,24,26,2015-12-30
5272,4,11,12,17,25,2015-12-14
5241,6,16,20,21,24,2015-11-13
5171,4,7,14,21,25,2015-09-04
5132,5,13,16,19,21,2015-07-27
5110,3,5,7,11,27,2015-07-05
5088,1,10,14,19,23,2015-06-13
5038,5,6,11,23,26,2015-04-24
5034,4,5,8,10,13,2015-04-20
5025,1,2,7,24,26,2015-04-11
5023,5,12,15,22,27,2015-04-09
5022,2,8,10,11,15,2015-04-08
5021,3,12,18,24,28,2015-04-07
5009,4,5,6,11,20,2015-03-26
4988,2,13,17,21,22,2015-03-05
4951,2,18,24,27,28,2015-01-27
4941,2,8,9,11,27,2015-01-17
4940,1,12,16,20,21,2015-01-16
4927,5,14,25,27,28,2015-01-03
4919,7,9,11,25,26,2014-12-26
4911,14,16,19,20,22,2014-12-18
4907,3,6,8,19,21,2014-12-14
4894,1,9,15,22,24,2014-12-01
4871,8,9,13,14,24,2014-11-08
4849,1,2,3,7,25,2014-10-17
4848,4,5,20,23,25,2014-10-16
4846,2,11,12,20,25,2014-10-14
4826,13,18,24,25,28,2014-09-24
4824,1,4,10,21,22,2014-09-22
4811,2,5,6,15,22,2014-09-09
4777,7,11,17,18,21,2014-08-06
4728,7,8,15,26,27,2014-06-18
4722,2,4,6,19,26,2014-06-12
4718,5,18,21,23,24,2014-06-08
4714,6,12,24,26,27,2014-06-04
4700,5,7,9,11,17,2014-05-21
4690,7,11,17,18,21,2014-05-11
4675,9,13,16,26,27,2014-04-26
4640,1,6,24,27,28,2014-03-22
4639,1,3,11,22,28,2014-03-21
4625,15,16,18,27,28,2014-03-07
4607,3,5,10,16,25,2014-02-17
4603,9,12,20,22,25,2014-02-13
4575,5,7,9,11,17,2014-01-16
4570,2,4,18,20,22,2014-01-11
4558,3,7,15,23,25,2013-12-30
4547,2,5,9,15,17,2013-12-19
4530,1,3,11,22,28,2013-12-02
4512,5,7,17,20,24,2013-11-14
4498,14,15,18,22,28,2013-10-31
4491,1,3,4,11,18,2013-10-24
4484,14,15,17,23,27,2013-10-17
4407,9,14,20,21,22,2013-08-01
4389,2,6,7,16,18,2013-07-14
4388,7,8,15,26,27,2013-07-13
4385,3,20,21,23,27,2013-07-10
4372,8,10,12,20,27,2013-06-27
4351,2,5,7,15,22,2013-06-06
4335,4,5,20,23,25,2013-05-21
4296,7,8,10,11,23,2013-04-12
4255,2,6,11,16,17,2013-03-02
4245,9,14,20,21,22,2013-02-20
4244,7,12,21,26,27,2013-02-19
4181,1,15,21,23,28,2012-12-18
4179,5,14,25,27,28,2012-12-16
4167,3,4,20,22,25,2012-12-04
4150,7,10,17,22,25,2012-11-17
4128,14,15,17,23,27,2012-10-26
4120,2,4,17,18,20,2012-10-18
4115,2,4,9,14,26,2012-10-13
4071,1,10,15,18,26,2012-08-30
4067,2,5,7,15,22,2012-08-26
4053,6,7,12,13,16,2012-08-12
4045,7,10,13,26,27,2012-08-04
4008,5,9,15,16,17,2012-06-28
3989,3,4,10,12,14,2012-06-09
3967,21,22,24,25,26,2012-05-18
3965,2,6,11,16,17,2012-05-16
3914,2,3,8,13,18,2012-03-26
3898,5,10,11,13,27,2012-03-10
3894,6,15,18,19,21,2012-03-06
3892,3,5,12,13,28,2012-03-04
3854,6,14,15,17,18,2012-01-26
3827,2,3,5,7,23,2011-12-30
3825,6,10,17,23,27,2011-12-28
3824,5,6,11,23,26,2011-12-27
3811,3,9,11,16,19,2011-12-14
3786,3,4,5,19,21,2011-11-19
3770,8,10,15,16,28,2011-11-03
3749,5,6,14,21,23,2011-10-13
3709,9,17,20,27,28,2011-09-03
3700,16,17,18,21,25,2011-08-25
3685,7,9,12,23,26,2011-08-10
3668,10,16,17,21,25,2011-07-24
3664,2,5,10,16,20,2011-07-20
3651,1,12,15,19,23,2011-07-07
3614,11,12,17,18,24,2011-05-31
3613,4,6,15,18,27,2011-05-30
3595,1,7,9,13,25,2011-05-12
3573,4,8,12,18,26,2011-04-20
3570,5,7,17,20,24,2011-04-17
3567,1,7,22,26,27,2011-04-14
3565,3,4,20,21,27,2011-04-12
3564,15,16,18,27,28,2011-04-11
3560,2,6,14,17,28,2011-04-07
3487,2,5,6,15,22,2011-01-24
3456,7,12,17,23,27,2010-12-24
3451,4,5,9,23,26,2010-12-19
3401,1,7,22,23,26,2010-10-30
3340,7,10,18,19,21,2010-08-30
3333,4,6,20,24,26,2010-08-23
3316,4,6,15,18,27,2010-08-06
3305,6,8,11,14,26,2010-07-26
3288,7,11,17,20,26,2010-07-09
3272,1,7,22,26,27,2010-06-23
3216,14,15,18,22,24,2010-04-28
3200,5,6,13,15,18,2010-04-12
3191,3,12,18,23,28,2010-04-03
3182,9,10,21,27,28,2010-03-25
3165,8,10,15,16,28,2010-03-08
3162,4,8,15,17,20,2010-03-05
3135,7,11,12,18,27,2010-02-06
3131,3,4,17,19,22,2010-02-02
3129,5,10,18,20,28,2010-01-31
3115,4,5,6,13,24,2010-01-17
3085,3,9,13,18,20,2009-12-18
3084,1,5,12,13,23,2009-12-17
3072,2,7,13,24,26,2009-12-05
3047,2,5,7,17,27,2009-11-10
3045,4,6,20,24,26,2009-11-08
3042,3,9,15,18,19,2009-11-05
3030,3,4,17,25,27,2009-10-24
2990,1,15,16,17,28,2009-09-14
2964,7,10,23,25,28,2009-08-19
2942,2,4,18,20,22,2009-07-28
2932,1,2,3,7,25,2009-07-18
2931,16,17,18,21,25,2009-07-17
2881,6,13,14,26,28,2009-05-28
2876,5,14,21,25,28,2009-05-23
2867,2,10,17,19,25,2009-05-14
2864,6,15,21,24,27,2009-05-11
2842,7,16,23,26,27,2009-04-19
2841,6,16,20,21,24,2009-04-18
2840,4,5,8,10,13,2009-04-17
2820,3,7,15,23,25,2009-03-28
2802,3,4,17,19,22,2009-03-10
2799,1,7,9,25,26,2009-03-07
2791,2,3,20,26,27,2009-02-27
2778,9,10,21,27,28,2009-02-14
2774,8,13,14,15,19,2009-02-10
2735,3,7,11,19,23,2009-01-02
2725,1,4,10,21,22,2008-12-23
2717,7,9,11,25,26,2008-12-15
2660,7,10,23,25,28,2008-10-19
2645,14,16,19,22,26,2008-10-04
2597,1,2,6,7,10,2008-08-17
2567,1,17,24,26,28,2008-07-18
2553,2,6,7,16,18,2008-07-04
2488,5,12,15,22,27,2008-04-30
2428,6,14,15,17,18,2008-03-01
2418,3,4,10,12,14,2008-02-20
2390,4,11,15,27,28,2008-01-23
2382,12,17,21,23,26,2008-01-15
2327,4,5,6,13,24,2007-11-21
2306,4,11,12,17,25,2007-10-31
2301,19,23,24,26,28,2007-10-26
2299,3,9,14,21,22,2007-10-24
2294,5,14,15,23,28,2007-10-19
2270,5,14,15,23,28,2007-09-25
2268,2,11,13,17,26,2007-09-23
2264,3,14,15,19,26,2007-09-19
2246,4,5,6,11,20,2007-09-01
2245,9,11,13,20,25,2007-08-31
2238,14,15,18,22,24,2007-08-24
2233,5,13,16,19,21,2007-08-19
2224,7,15,16,18,28,2007-08-10
2215,10,12,14,19,23,2007-08-01
2170,5,11,13,20,27,2007-06-17
2161,1,12,15,19,23,2007-06-08
2138,3,10,15,19,20,2007-05-16
2115,2,6,14,17,28,2007-04-23
2111,6,7,12,13,16,2007-04-19
2106,6,7,9,10,15,2007-04-14
2093,4,8,12,18,26,2007-04-01
2079,6,7,9,10,15,2007-03-18
2054,1,9,23,27,28,2007-02-21
2046,2,6,10,18,28,2007-02-13
2043,10,11,18,22,24,2007-02-10
2041,1,10,16,18,22,2007-02-08
2020,6,15,21,24,27,2007-01-18
2005,2,11,12,20,25,2007-01-03
2002,7,8,10,11,23,2006-12-31
2000,14,16,19,20,22,2006-12-29
1993,1,2,6,7,10,2006-12-22
1987,2,5,10,16,20,2006-12-16
1959,5,8,11,21,25,2006-11-18
1950,3,5,10,16,25,2006-11-09
1946,8,10,13,15,17,2006-11-05
1929,3,12,18,23,28,2006-10-19
1918,1,7,9,13,25,2006-10-08
1894,2,11,17,23,27,2006-09-14
1869,8,9,13,14,24,2006-08-20
1844,10,11,18,22,24,2006-07-26
1828,4,6,13,14,28,2006-07-10
1813,7,10,17,22,25,2006-06-25
1812,7,11,12,18,27,2006-06-24
1786,3,5,13,19,28,2006-05-29
1760,2,10,12,15,22,2006-05-03
1714,2,11,17,23,27,2006-03-18
1686,4,5,9,23,26,2006-02-18
1668,11,18,19,20,21,2006-01-31
1655,1,6,24,27,28,2006-01-18
1651,9,10,21,27,28,2006-01-14
1595,14,15,16,17,25,2005-11-19
1591,9,11,13,20,25,2005-11-15
1587,5,6,13,15,18,2005-11-11
1566,3,4,17,25,27,2005-10-21
1561,2,5,7,15,24,2005-10-16
1540,3,14,15,19,26,2005-09-25
1535,2,5,7,15,24,2005-09-20
1512,5,6,14,21,23,2005-08-28
1511,11,18,19,20,21,2005-08-27
1455,1,3,8,23,28,2005-07-02
1454,1,13,17,18,21,2005-07-01
1452,2,3,8,13,18,2005-06-29
1434,2,4,9,14,26,2005-06-11
1427,5,6,7,23,28,2005-06-04
1412,8,13,14,15,19,2005-05-20
1397,1,9,15,22,24,2005-05-05
