NUMERO,FRECUENCIA
26,178
25,173
15,171
37,167
4,163
16,163
38,161
24,161
6,160
32,159
2,159
8,157
21,154
20,153
10,152
11,152
36,152
13,152
34,148
1,148
18,148
7,148
12,147
33,147
29,147
28,147
31,146
17,144
22,144
23,143
9,142
19,142
14,140
27,138
35,137
39,136
5,133
30,132
3,130
