NUMERO,FRECUENCIA
26,155
37,153
36,152
40,151
4,149
17,149
24,145
50,144
29,144
46,143
30,143
16,143
13,142
25,142
5,141
28,140
39,139
33,139
32,138
2,138
15,137
55,135
38,134
53,133
21,133
23,132
7,131
43,130
31,130
48,130
56,130
18,130
27,129
44,129
9,129
22,128
42,128
12,127
35,127
6,126
49,125
34,125
51,124
45,124
52,123
19,123
47,123
10,122
20,121
8,121
1,120
14,120
3,120
54,117
41,115
11,113
