NUMERO,FRECUENCIA
19,154
52,152
12,150
21,150
56,149
5,145
25,144
43,143
16,143
55,141
2,141
13,139
46,138
40,138
33,138
4,138
49,137
20,137
10,137
54,137
29,136
3,136
48,135
8,133
26,133
45,133
35,132
47,132
37,131
50,131
17,130
51,129
30,129
22,129
34,128
7,128
15,128
9,128
23,128
32,128
14,127
44,126
18,126
42,126
24,125
36,125
1,125
39,125
6,124
28,123
41,121
31,120
27,120
11,118
53,118
38,117
